attractor_id,time_step,CK0,CK,AHK,AHP,BARR,IPT,PIN,CKX,AARR,ERF,AHP6,TDIF,PXY,IAA0,IAA,BR,BZR1,STM,GA,GID1,ETHL,ARF,HB8,TMO5,WOX4,LOG3,DELL,WRKY,LHW,ENDO
attractor_34,t+2,1,0,1,0,0,0,0,1,0,0,1,0_,0,1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
attractor_34,t+3,1,0,0,1,0,0,0,1,0,0,1,0_,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1
attractor_35,t,0,0,1,1,1,1,0,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0
attractor_35,t+1,0,0,0,1,1,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
attractor_35,t+2,0,0,0,0,1,1,1,0,0,1,0,0_,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
attractor_35,t+3,0,1,0,0,0,1,1,0,0,1,0,0_,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1
attractor_35,t+4,0,1,1,0,0,1,0,0,0,1,0,0_,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1
attractor_35,t+5,0,1,1,1,0,1,0,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1
attractor_36,t,1,0,1,0,1,1,0,0,0,0,0,0_,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
attractor_36,t+1,1,1,0,1,0,1,1,1,0,1,0,0_,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1
attractor_37,t,1,0,1,0,1,1,0,0,0,0,0,0_,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0
attractor_37,t+1,1,1,0,1,0,1,1,1,0,1,0,0_,0,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1
attractor_38,t,0,0,1,0,1,1,0,0,0,0,0,0_,0,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,1,0
attractor_38,t+1,0,1,0,1,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1
attractor_39,t,0,0,1,0,1,1,0,0,0,1,0,0_,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,1,1,0
attractor_39,t+1,0,1,0,1,0,1,1,0,0,1,0,0_,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
